# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 1.4259293280795766,2.0628872573592094,3.2164939669766786,-66.10717381471085,0.8841692641551675,-1.5217494330799772,3.837518015280385,0.0,193.61066250707566,0.0
 1.4328960553158603,2.0654997381894216,3.2109526242180233,-64.75834113898787,0.8745614809111872,-1.3790956525384857,3.922297795974911,0.0,195.77664169996137,0.0
 1.4399211253115716,2.068238655040062,3.205487185450482,-63.382996527520355,0.8658682696324502,-1.2374554679233238,4.001451938273053,0.0,197.78284653544785,0.0
 1.4470022488028436,2.0711058758380787,3.2000987048961527,-61.98247176674755,0.8581024693786805,-1.0966904140764726,4.074205692299124,0.0,199.61495945842066,0.0
 1.4541369859168107,2.0741032685104184,3.1947882367771343,-60.5582715069965,0.8512768679545634,-0.9566717476885234,4.139802191300828,0.0,201.25912507937375,0.0
 1.4613227503147181,2.07723270098403,3.189556835315526,-59.11207085124714,0.8454040891182025,-0.8172796255428394,4.197517993100326,0.0,202.70217955048335,0.0
 1.4685568152563266,2.08049604118586,3.1844055547334262,-57.64571012057336,0.8404964823163514,-0.6784023701009084,4.2466791940609,0.0,203.93188501749992,0.0
 1.4758363216137693,2.083895157042857,3.1793354492529344,-56.16118666710321,0.8365660163062228,-0.5399357892049944,4.286677565615517,0.0,204.93716240565337,0.0
 1.4831582878157314,2.087431916481969,3.174347573096149,-54.66064369044299,0.8336241778479848,-0.4017825782164475,4.31698610200012,0.0,205.70831526615677,0.0
 1.4905196216520475,2.0911081874301427,3.1694429804851687,-53.14635610886265,0.8316818769007884,-0.2638517679519326,4.337173333235542,0.0,206.237237000097,0.0
 1.497917133815951,2.094925837814326,3.164622725642092,-51.62071363950461,0.8307493596453839,-0.12605822535241343,4.346915763724474,0.0,206.51759386873394,0.0
 1.5053475530093907,2.0988867355614667,3.159887862789018,-50.086201346239356,0.8308361305947749,0.011677800018016871,4.346007843865053,0.0,206.54497666533646,0.0
